,carbs per g,calories per g,protein per gram,fat per g,name
0,0.5525,5.49,0,0.3318,"CANDIES,MILK CHOC COATD COFFEE BNS"
1,0.0339,0.14,0.0062,2e-04,"GOURD,WHITE-FLOWERED (CALABASH),RAW"
2,0.0089,1.69,0.2614,0.0674,"PORK,FRSH,LOIN,BLADE (CHOPS),BNLESS,LN,BNLESS,CKD,BRLD"
3,0.0261,0.85,7e-04,0,"ALCOHOLIC BEV,WINE,TABLE,RED"
4,0,8.84,0,1,"OIL,UCUHUBA BUTTER"
5,0,1.57,0.3206,0.0324,"CHICkN,BROILR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,BRSD"
6,0.286,4.76,0,0.259,"BACON BITS,MEATLESS"
7,0.3358,3.69,0,0.067,"SOY FLR,LOW-FAT,CRUDE PROT BASIS (N x 6.25)"
8,0.4253,1.98,0,0.0127,"WHEAT,SPROUTED"
9,0.2338,0.97,0.022,0.007,"PASSION-FRUIT,(GRANADILLA),PURPLE,RAW"
10,0.485,2.69,0.084,0.044,"BREAD,OATMEAL"
11,0.46,2.35,0.077,0.018,"ENGLISH MUFFINS,PLN,UNENR,W/CA PROP (INCL SOURDOUGH)"
12,0.046,3.15,0,0.266,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)"
13,0.986,3.94,0,0,"CANDIES,HARD,DIETETIC OR LO CAL (SORBITOL)"
14,4e-04,0.07,0.0114,0.0022,"SOUP,BF BROTH OR BOUILLON CND,RTS"
15,0.533,2.55,0.107,0.012,"BAGELS,OAT BRAN"
16,0.09,0.5,0,0.008,"SOUP,MINESTRONE,CND,RED NA,RTS"
17,0,1.6,0.283,0.0438,"GAME MEAT,BOAR,WILD,CKD,RSTD"
18,0.111,0.97,0.021,0.051,"SALAD DRSNG,MAYO,IMITN,MILK CRM"
19,0.08,1.97,0,0.09,VEGETARIAN MEATLOAF OR PATTIES
20,0.0773,0.37,0,0.0068,"CARROTS,FRZ,CKD,BLD,DRND,WO/SALT"
21,0,1.23,0.2018,0.0465,"VEAL,AUSTRALIAN,SHANK,FORE,BONE-IN,LN,RAW"
22,0,1.96,0.191,0.1333,"BEEF,CHK EYE CNTRY-STYLE RIBS,BNL,LN & FAT,0\ FAT,SEL,RAW"""
23,0,1.32,0.2239,0.0406,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN,RAW"
24,0.0157,1.17,0.1799,0.0439,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN,HTD,RSTD"
25,0.297,1.13,0,0.0024,"PRUNES,DEHYD (LOW-MOISTURE),STWD"
26,0.582,4.97,0.098,0.25,"CRACKERS,WHEAT,SNDWCH,W/CHS FILLING"
27,0.2646,1.12,0,0.002,"TARO,RAW"
28,0.7774,3.74,0.0998,0.0443,"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN"
29,0.0694,0.44,0,0.0041,"CAMPBELL'S CHUNKY SOUPS,BF RIB RST POTATOES HERBS SOUP"
30,0.2017,1.13,0,0.0086,"LIMA BNS,IMMAT SEEDS,RAW"
31,0,5.18,0.0934,0.5301,"PORK,FRSH,BELLY,RAW"
32,0.3189,1.22,0.013,0.0037,"PLANTAINS,RAW"
33,0.5583,3.25,0.1429,0.1401,CURRY POWDER
34,0.1277,0.93,0.0212,0.043,"POTATOES,SCALLPD,DRY MIX,PREP W/H2O,WHL MILK&BUTTER"
35,0.9296,3.64,0,0,"BEVERAGES,NESTLE,OVALTINE,RICH CHOC,PDR"
36,0.0984,2.57,0.1853,0.1816,"SAUSAGE,MEATLESS"
37,0.1152,0.54,0,0.0071,"BEVERAGE,HORCHATA,AS SERVED IN RESTAURANT"
38,0,1.7,0.216,0.093,"BEEF,TOP LOIN PETITE RST/FILET,BNLS,LN & FAT,1/8\ FAT,SEL,RW"""
39,0.635,4.67,0,0.199,"KELLOGG'S,ALL-BRAN,GARLIC & HERB CRACKERS"
40,9e-04,1.57,0,0.0726,"PORK,FRSH,VAR MEATS & BY-PRODUCTS,STOMACH,CKD,SIMMRD"
41,0,8.84,0,1,"OIL,CTTNSD,SALAD OR COOKING"
